paperId,externalIds,title,venue,year,openAccessPdf,authors,abstract
022edb067889c5102adb8e5bab0bf5d40f068139,"{'MAG': '1496507323', 'DBLP': 'conf/aaai/Hamscher92', 'CorpusId': 35846780}",Modeling Accounting Systems to Support Multiple Tasks: A Progress Report,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.aaai.org/Library/AAAI/1992/aaai92-080.php, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '3023814', 'name': 'W. Hamscher'}]",
0645407d259cc2fbcd0eba67f2f910e183454c45,"{'MAG': '29917700', 'CorpusId': 59641199}",A COMPUTER MODEL OF DIAGRAMMATIC REASONING,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None}","[{'authorId': '2057131896', 'name': 'N. Narayanan'}, {'authorId': '145414142', 'name': 'B. Chandrasekaran'}]",
0721cce2ca9d39ec4154b5a80659bec0a2170d93,"{'DBLP': 'conf/aaai/CrawfordE92', 'CorpusId': 18483133}",Formalising Reasoning about Change: A Qualitative Reasoning Approach,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.aaai.org/Library/AAAI/1992/aaai92-089.php, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '46890564', 'name': 'J. Crawford'}, {'authorId': '37775072', 'name': 'David W. Etherington'}]",
073032c3450ca7faaeac5d2accd963939e0f2a9c,"{'DBLP': 'conf/aaai/JonesE92', 'MAG': '79411081', 'CorpusId': 15505813}",A Probabilistic Parser Applied to Software Testing Documents,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.cis.upenn.edu/~jeisner/papers/jones+eisner.aaai92.ps, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2111035923', 'name': 'M. Jones'}, {'authorId': '145043214', 'name': 'Jason Eisner'}]",
0852154783737df11b67c075d2a12e148f7a35bd,"{'MAG': '2097412459', 'DBLP': 'conf/aaai/Kleer92', 'DOI': '10.1007/978-3-642-60211-5_9', 'CorpusId': 45505161}",An Improved Incremental Algorithm for Generating Prime Implicates,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/978-3-642-60211-5_9?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/978-3-642-60211-5_9, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '3238472', 'name': 'J. Kleer'}]",
08cdff932c7bd1a7b0f78d564bb2b5d2f14db8cf,"{'MAG': '138213660', 'DBLP': 'conf/aaai/Downing92', 'CorpusId': 38217180}",Consistency-Based Diagnosis in Physiological Domains,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.aaai.org/Library/AAAI/1992/aaai92-086.php, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '1760531', 'name': 'K. Downing'}]",
0e65e227474358c43565f0969f958f218a49c640,"{'MAG': '69407335', 'DBLP': 'conf/aaai/FayyadI92', 'CorpusId': 26648065}",The Attribute Selection Problem in Decision Tree Generation,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.aaai.org/Library/AAAI/1992/aaai92-016.php, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '1695784', 'name': 'U. Fayyad'}, {'authorId': '34849755', 'name': 'K. Irani'}]",
0eac2f88012a014196ca3d2823189d7ac29be6ba,"{'DBLP': 'conf/aaai/AshleyA92', 'MAG': '73197976', 'CorpusId': 27105197}",Generating Dialectical Examples Automatically,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.aaai.org/Library/AAAI/1992/aaai92-101.php, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '1770311', 'name': 'Kevin D. Ashley'}, {'authorId': '1779915', 'name': 'V. Aleven'}]",
142ab03d852bbb6ed149d45456a6b5354acf36af,"{'MAG': '1554366349', 'DBLP': 'conf/aaai/Jacobs92', 'CorpusId': 36127496}",Parsing Run Amok: Relation-Driven Control for Text Analysis,AAAI Conference on Artificial Intelligence,1992,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.aaai.org/Library/AAAI/1992/aaai92-049.php, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '1770316', 'name': 'P. Jacobs'}]",
146dc89cacb3577d26fff494d3ae4ea50a92e143,"{'MAG': '1497858819', 'DBLP': 'conf/aaai/JenningsM92', 'DOI': '10.1007/978-0-387-35357-9_18', 'CorpusId': 19759249}",Using Joint Responsibility to Coordinate Collaborative Problem Solving in Dynamic Environments,AAAI Conference on Artificial Intelligence,1992,"{'url': 'https://link.springer.com/content/pdf/10.1007/978-0-387-35357-9_18.pdf', 'status': 'BRONZE', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/978-0-387-35357-9_18?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/978-0-387-35357-9_18, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '144626042', 'name': 'N. Jennings'}, {'authorId': '1774322', 'name': 'E. Mamdani'}]",
