paperId,externalIds,title,venue,year,openAccessPdf,authors,abstract
0dc09cff849f6e5b57287c78d4333ba9a485134c,"{'MAG': '1983818780', 'DBLP': 'conf/cscw/BeardPHBNS90', 'DOI': '10.1145/99332.99361', 'CorpusId': 14490062}",A visual calendar for scheduling group meetings,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/99332.99361', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99361?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99361, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '2054434874', 'name': 'David B. Beard'}, {'authorId': '3171308', 'name': 'M. Palaniappan'}, {'authorId': '113989553', 'name': 'Alan Humm'}, {'authorId': '2058822732', 'name': 'David Banks'}, {'authorId': '101495644', 'name': 'Ani Nair'}, {'authorId': '39388813', 'name': 'Y. Shan'}]","Scheduling group meetings requires access to participants' calendars, typically located in scattered pockets or desks. Placing participants' calendars on-line and using a rule-based scheduler to find a time slot would alleviate the problem to some extent, but it often is difficult to trust the results, because correct scheduling rules are elusive, varying with the participants and the agenda of a particular meeting. What's needed is a comprehensive scheduling system that summarizes the available information for quick, flexible, and reliable scheduling. We have developed a prototype of a priority-based, graphical scheduling system called Visual Scheduler (VS).
A controlled experiment comparing automatic scheduling with VS to manual scheduling demonstrated the former to be faster and less error prone. A field study conducted over six weeks at the UNC-CH Computer Science Department showed VS to be a generally useful system and provided valuable feedback on ways to enhance the functionality of the system to increase its value as a groupwork tool. In particular, users found priority-based time-slots and access to scheduling decision reasoning advantageous. VS has been in use by more than 75 faculty, staff, and graduate students since Fall 1987."
1b6d89146e92e442320eb457ae3c0b7e9e84db89,"{'MAG': '2051421869', 'DBLP': 'conf/cscw/Hellman90', 'DOI': '10.1145/99332.99359', 'CorpusId': 751252}",User support: illustrating computer use in collaborative work contexts,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/99332.99359', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99359?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99359, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '34110475', 'name': 'R. Hellman'}]","It is relevant for the users of a computerized information system to perceive the organizational context of collaborative work and corresponding information processes. It is possible to reflect these in a context support system. In order to demonstrate this, a theoretical framework for the realization of such support systems is presented. A context support system can be built around four types of module: 1) images of information media, 2) descriptions of jobs composed of task lattices, 3) illustrations of physical work units, and 4) visualizations of databases. The general module structures as well as some examples are presented. Both the framework and the examples are built around the idea of hypermedia as a potential environment of implementation."
2c12aa19d7eda9c790b3067e2ee06e315324a218,"{'MAG': '2014347054', 'DBLP': 'conf/cscw/BrothersSM90', 'DOI': '10.1145/99332.99353', 'CorpusId': 14864316}",ICICLE: groupware for code inspection,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/99332.99353', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99353?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99353, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '39081052', 'name': 'L. Brothers'}, {'authorId': '1810532', 'name': 'V. Sembugamoorthy'}, {'authorId': '2055957508', 'name': 'M. Muller'}]","ICICLE1 (“Intelligent Code Inspection Environment in a C Language Environment”) is a multifarious software system intended to augment the process of formal code inspection. It offers assistance in a number of activities, including knowledge-based analysis and annotations of source code, and computer supported cooperative discussion and finalization of inspectors' comments during inspection meetings. This paper reports the implementation of ICICLE and GroupWare issues encountered during testing; it is directed towards an audience interested in the implementation of GroupWare as well as those concerned with usability of software systems for computer-supported cooperative work (CSCW)."
3b7f537fea4b83ba362ddd3e45b24ace48a27698,"{'DBLP': 'conf/cscw/HarrisonOS90', 'MAG': '2018009362', 'DOI': '10.1145/99332.99352', 'CorpusId': 18999915}",Coordinating concurrent development,Conference on Computer Supported Cooperative Work,1990,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99352?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99352, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '144269673', 'name': 'W. Harrison'}, {'authorId': '1726119', 'name': 'H. Ossher'}, {'authorId': '1720289', 'name': 'P. Sweeney'}]",
428121177fb279f2fec51a3575547f98f388aacf,"{'MAG': '1993404130', 'DBLP': 'conf/cscw/RederS90', 'DOI': '10.1145/99332.99363', 'CorpusId': 6853429}",The temporal structure of cooperative activity,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/99332.99363', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99363?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99363, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '3303474', 'name': 'S. Reder'}, {'authorId': '40792355', 'name': 'R. Schwab'}]","Developers of group-support technology often base their designs on tacit assumptions about the nature of group work. At the same time, social scientists, tell us that cooperative work involves complex social and linguistic interactions among team members [Krau90]. The research reported here considers one important facet of these interactions: what is the nature of the relationship between individual work and group work activity? In particular, how is the characteristic temporal and spatial patterning of behavior in the work environment related to the modes of cooperative behavior ? We are attempting to develop a theoretical framework which addresses such questions in an empirically verifiable way. The framework begins with the observation that individuals in office settings must routinely resolve conflicts between (1) having uninterrupted periods of time in which to get their own work done and (2) being accessible for communication with others with whom they work."
45d5a1afe85fa946d930838fc1b2fc024693e8cc,"{'DBLP': 'conf/cscw/AustinLM90', 'MAG': '1987034343', 'DOI': '10.1145/99332.99340', 'CorpusId': 7289407}",Determinants and patterns of control over technology in a computerized meeting room,Conference on Computer Supported Cooperative Work,1990,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99340?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99340, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '1951410', 'name': 'L. Austin'}, {'authorId': '2778136', 'name': 'J. Liker'}, {'authorId': '34952716', 'name': 'P. McLeod'}]",
474c9d255f0d6690f314af3ab0f49d88b6cbf409,"{'MAG': '1986355004', 'DBLP': 'conf/cscw/BullenB90', 'DOI': '10.1145/99332.99362', 'CorpusId': 5295874}",Learning from user experience with groupware,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/99332.99362', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99362?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99362, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '39597504', 'name': 'C. Bullen'}, {'authorId': '143732081', 'name': 'J. Bennett'}]",Observers have identified a potential for major improvements in organizational productivity made possible through the use of personal computers serving as a means to link people into task-oriented teams. Our study offers an examination of how people are using personal computers for such electronic exchanges via networking. We interviewed 223 people who were using several “groupware” systems in a sample of 25 enterprises to see how they employ these software tools to support their group work. An explanation of our research design and a more complete discussion of the results can be found in Bullen and Bennett [BulNO].
49533f64dbb1c103cbc432842424c5b73dbac7a7,"{'DBLP': 'conf/cscw/Lee90', 'DOI': '10.1145/99332.99344', 'CorpusId': 18043595}",SIBYL: a tool for managing group design rationale,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/99332.99344', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99344?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99344, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '2407300308', 'name': 'Jintae Lee'}]","We describe SIBYL, a system that supports group decision making by representing and managing the qualitative aspects of decision making processes: such as the alternatives, the goals to be satisfied, and the arguments evaluating the alternatives with respect to these goals. We use an example session with SIBYL to illustrate the language, called DRL, that SIBYL uses for representing these qualitative aspects, and the set of services that SIBYL provides using this language. We also compare SIBYL to other systems with similar objectives and discuss the additional benefits that SIBYL provides. In particular, we compare SIBYL to gIBIS, a well-known “tool for exploratory policy discussion”, and claim that SIBYL is mainly a knowledge-based system which uses a semi-formal representation, whereas gIBIS is mainly a hypertext system with semantic types. We conclude with a design heuristic, drawn from our experience with SIBYL, for systems whose goal includes eliciting knowledge from people."
4ad01e56be93de368482a5468318e2a3e68b8620,"{'MAG': '2074796576', 'DBLP': 'conf/cscw/CrowleyMBFT90', 'DOI': '10.1145/99332.99365', 'CorpusId': 16096702}",MMConf: an infrastructure for building shared multimedia applications,Conference on Computer Supported Cooperative Work,1990,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99365?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99365, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '32781057', 'name': 'T. R. Crowley'}, {'authorId': '1613114749', 'name': 'Paul Milazzo'}, {'authorId': '21027923', 'name': 'E. Baker'}, {'authorId': '2701864', 'name': 'Harry C. Forsdick'}, {'authorId': '3322224', 'name': 'R. Tomlinson'}]",
4db6e54b2d26487fa162208b6ce3c4d04bc3be3b,"{'MAG': '2102824954', 'DBLP': 'conf/cscw/PattersonHRM90', 'DOI': '10.1145/99332.99364', 'CorpusId': 15134769}",Rendezvous: an architecture for synchronous multi-user applications,Conference on Computer Supported Cooperative Work,1990,"{'url': 'https://cumincad.architexturez.net/system/files/pdf/46f1.content.pdf', 'status': 'GREEN', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/99332.99364?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/99332.99364, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '145543692', 'name': 'J. Patterson'}, {'authorId': '31409714', 'name': 'R. Hill'}, {'authorId': '2150668', 'name': 'Steven L. Rohall'}, {'authorId': '2249455735', 'name': 'Scott W. Meeks'}]",
