paperId,externalIds,title,venue,year,openAccessPdf,authors,abstract
0132003882f6b211103d7e25cd7d8b51b0bf4c9e,"{'MAG': '2146092999', 'DBLP': 'conf/icml/AndersonM05', 'DOI': '10.1145/1102351.1102353', 'CorpusId': 17153189}",Active learning for Hidden Markov Models: objective functions and algorithms,International Conference on Machine Learning,2005,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102353?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102353, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '36149042', 'name': 'Brigham S. Anderson'}, {'authorId': '1760402', 'name': 'A. Moore'}]",
013c5b053ec2e874975610104addd70f5649457e,"{'DBLP': 'conf/icml/CarneyCDL05', 'MAG': '2063241008', 'DOI': '10.1145/1102351.1102366', 'CorpusId': 7143303}",Predicting probability distributions for surf height using an ensemble of mixture density networks,International Conference on Machine Learning,2005,"{'url': 'https://www.scss.tcd.ie/publications/tech-reports/reports.06/TCD-CS-2006-06.pdf', 'status': 'GREEN', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102366?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102366, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2065909003', 'name': 'Michael Carney'}, {'authorId': '143709732', 'name': 'P. Cunningham'}, {'authorId': '1684757', 'name': 'J. Dowling'}, {'authorId': '2370272637', 'name': 'Ciaran Lee'}]",
03efbabaf80d6f5fa7b55256d25f1b2af386aa5b,"{'DBLP': 'conf/icml/LiaoXC05', 'MAG': '2050549724', 'DOI': '10.1145/1102351.1102415', 'CorpusId': 18365911}",Logistic regression with an auxiliary data source,International Conference on Machine Learning,2005,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102415?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102415, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2585822', 'name': 'X. Liao'}, {'authorId': '145644275', 'name': 'Ya Xue'}, {'authorId': '145006560', 'name': 'L. Carin'}]",
0545bac8f60c0364cc3434c0ff7e7563e041a7e8,"{'MAG': '255890576', 'DBLP': 'conf/icml/2005', 'CorpusId': 6004278}","Machine Learning, Proceedings of the Twenty-Second International Conference (ICML 2005), Bonn, Germany, August 7-11, 2005",International Conference on Machine Learning,2005,"{'url': '', 'status': None, 'license': None}","[{'authorId': '1740042', 'name': 'L. D. Raedt'}, {'authorId': '145057418', 'name': 'S. Wrobel'}]",
0b8ecf769bfefc5daa0ca2cc2c8b097bf34c90a6,"{'MAG': '2001127259', 'DBLP': 'conf/icml/JinZ05', 'DOI': '10.1145/1102351.1102397', 'CorpusId': 2628211}",A smoothed boosting algorithm using probabilistic output codes,International Conference on Machine Learning,2005,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102397?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102397, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '144723884', 'name': 'Rong Jin'}, {'authorId': '2151812271', 'name': 'Jian Zhang'}]",
0e079f162d4a6bfa94da569d660f4121883e6cdc,"{'MAG': '1997561154', 'DBLP': 'conf/icml/RohanimaneshM05', 'DOI': '10.1145/1102351.1102442', 'CorpusId': 7566}",Coarticulation: an approach for generating concurrent plans in Markov decision processes,International Conference on Machine Learning,2005,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102442?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102442, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2274348', 'name': 'Khashayar Rohanimanesh'}, {'authorId': '1850503', 'name': 'S. Mahadevan'}]",
0e8853664d899b0846f6820f2dc533cf32de4d64,"{'MAG': '2518870260', 'CorpusId': 18685758}",On the convergence of reinforcement learning using a decision tree learner,International Conference on Machine Learning,2005,"{'url': '', 'status': None, 'license': None}","[{'authorId': '2257249275', 'name': 'Jan Ramon'}]",
102ae5a579538aa00569553c3151578561bc8b6f,"{'DBLP': 'conf/icml/Meila05', 'MAG': '2141729166', 'DOI': '10.1145/1102351.1102424', 'CorpusId': 578125}",Comparing clusterings: an axiomatic view,International Conference on Machine Learning,2005,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102424?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102424, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2316129', 'name': 'M. Meilă'}]",
135687fa2e5573037748dcf44d1c3d6766809f57,"{'DBLP': 'conf/icml/YuTS05', 'MAG': '2148522164', 'DOI': '10.1145/1102351.1102479', 'CorpusId': 13895067}",Learning Gaussian processes from multiple tasks,International Conference on Machine Learning,2005,"{'url': 'http://tresp.org/papers/multitaskGP_final.pdf', 'status': 'GREEN', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102479?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102479, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2114075909', 'name': 'Kai Yu'}, {'authorId': '1700754', 'name': 'Volker Tresp'}, {'authorId': '2071649', 'name': 'A. Schwaighofer'}]",
146e33f6ac7ee643af0a6a10f78a5273e6dfad86,"{'MAG': '1965520710', 'DBLP': 'conf/icml/ChuG05', 'DOI': '10.1145/1102351.1102369', 'CorpusId': 1115534}",Preference learning with Gaussian processes,International Conference on Machine Learning,2005,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/1102351.1102369?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/1102351.1102369, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '2057046890', 'name': 'Wei Chu'}, {'authorId': '1744700', 'name': 'Zoubin Ghahramani'}]",
