paperId,externalIds,title,venue,year,openAccessPdf,authors,abstract
020efa2f87e57dc6ca36d0c976d684b6a3c87522,"{'MAG': '2612783498', 'CorpusId': 64867581}",Social media meets automatic content generation,International Conference on Web and Social Media,2009,"{'url': '', 'status': None, 'license': None}","[{'authorId': '1878195', 'name': 'Francisco Iacobelli'}, {'authorId': '2263239', 'name': 'K. Hammond'}, {'authorId': '144218567', 'name': 'L. Birnbaum'}]",
07dd82bf8c8148a3eb301369bc02f3b81582e858,"{'DBLP': 'conf/icwsm/BeuscartC09', 'MAG': '44570065', 'DOI': '10.1609/icwsm.v3i1.13989', 'CorpusId': 16902257}",The Distribution of Online Reputation: Audience and Influence of Musicians on MySpace,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13989/13838', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13989?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13989, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '2071801176', 'name': 'Jean-Samuel Beuscart'}, {'authorId': '2987228', 'name': 'T. Couronné'}]","
 
 The user-generated content platforms like MySpace, YouTube or Flickr produce emergent sociability patterns and behaviors, which are well observed in various studies. Few of them deal with the nature of the reputation in these large social networks. In this work, we extract a sample of MySpace Music by parsing the artists' pages and following the ""best friend"" links. The study of the network shows that the online fame is composed by two independent features: the audience, dominated by the major companies' artists, and the influence, more associated with independent labels. We observe that most of the audience is focused on a few stars: the tail of MySpace Music is long, but flat. The network structure shows that artists tend to link to artists of similar reputation.
 
"
0cfb0084a51ca29821696db1508d7c108e143ed9,"{'DBLP': 'conf/icwsm/NovNY09', 'MAG': '168087971', 'DOI': '10.1609/icwsm.v3i1.13954', 'CorpusId': 8697037}","Motivational, Structural and Tenure Factors that Impact Online Community Photo Sharing",International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13954/13803', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13954?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13954, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '71575036', 'name': 'O. Nov'}, {'authorId': '1687465', 'name': 'Mor Naaman'}, {'authorId': '144273482', 'name': 'Chen Ye'}]","
 
 In recent years, we have witnessed a significant growth of ""social computing"" services, or online communities where users contribute content in various forms, including images, text or video. Content contribution from members is critical to the viability of these online communities. It is therefore important to understand what drives users to share content with others in such settings. We extend previous literature on user contribution by studying the factors that are associated with users' photo sharing in an online community, drawing on motivation theories as well as on analysis of basic structural properties. Our results indicate that photo sharing declines in respect to the users' tenure in the community. We also show that users with higher commitment to the community and greater ""structural embeddedness"" tend to share more content. We demonstrate that the motivation of self-development is negatively related to photo sharing, and that tenure in the community moderates the effect of self-development on photo sharing. Directions for future research, as well as implications for theory and practice are discussed.
 
"
10b6d74e711a3762e5ca74704b90bae5755dede7,"{'MAG': '2149668059', 'DBLP': 'conf/icwsm/KahandaN09', 'DOI': '10.1609/icwsm.v3i1.13957', 'CorpusId': 8975180}",Using Transactional Information to Predict Link Strength in Online Social Networks,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13957/13806', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13957?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13957, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '1866395', 'name': 'Indika Kahanda'}, {'authorId': '144050371', 'name': 'Jennifer Neville'}]","
 
 Many scientific fields analyzing and modeling social networks have focused on manually-collected datasets where the friendship links are sparse (due to the costs of collection) but relatively noise-free (i.e. they indicate strong relationships). In online social networks, where the notion of ``friendship'' is broader than what would generally be considered in sociological studies, the friendship links are denser but the links contain noisier information (i.e., some weaker relationships). However, the networks also contain additional transactional events among entities (e.g., communication, file transfers) that can be used to infer the true underlying social network. With this aim in mind, we develop a supervised learning approach to predict link strength from transactional information. We formulate this as a link prediction task and compare the utility of attribute-based, topological, and transactional features. We evaluate our approach on public data from the Purdue Facebook network and show that we can accurately predict strong relationships. Moreover, we show that transactional-network features are the most influential features for this task.
 
"
1f01d4f79ea448035006b80ba307732c23252c0b,"{'MAG': '2124599532', 'DBLP': 'conf/icwsm/CountsS09', 'DOI': '10.1609/icwsm.v3i1.13961', 'CorpusId': 573758}",Self-Presentation of Personality During Online Profile Creation,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13961/13810', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13961?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13961, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '1666505245', 'name': 'Scott Counts'}, {'authorId': '39953879', 'name': 'K. Stecher'}]","
 
 When users present themselves in a social networking community, they are called on to create profiles that are representative and portray a desired image. In this paper, we examine the profile creation process. We explore what self-presentations are desired and how these presentations are created by having people rate their profile along personality dimensions after completing each attribute field in a mock social network-like profile. Findings indicate that people hope to convey personality traits through their online profiles and that they are able to create profiles they feel match their desired self-presentation. Free-form profile attributes best enable desired self presentations of traits, and only a few of these attributes are needed for sufficient self presentation online.
 
"
21e37fdfb22fed6006eec821af02bc71b9e463d1,"{'MAG': '2795449130', 'CorpusId': 461652}",Quantification of topic propagation using percolation theory: a study of the icwsm network,International Conference on Web and Social Media,2009,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://www.icwsm.org/2009/data/ICWSM_AliAzimiBolourian-Final.pdf, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","[{'authorId': '1910545', 'name': 'A. A. Bolourian'}, {'authorId': '2678472', 'name': 'Yashar Moshfeghi'}, {'authorId': '1709413', 'name': 'C. J. Rijsbergen'}]",
224e457fde0e97a080ce2385496784ee9d193a02,"{'MAG': '165525898', 'DBLP': 'conf/icwsm/SayyadiHM09', 'DOI': '10.1609/icwsm.v3i1.13970', 'CorpusId': 14568370}",Event Detection and Tracking in Social Streams,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13970/13819', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13970?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13970, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '2490180', 'name': 'H. Sayyadi'}, {'authorId': '145501780', 'name': 'Matthew F. Hurst'}, {'authorId': '2051240', 'name': 'A. Maykov'}]","
 
 Events and stories can be characterized by a set of descriptive, collocated keywords. Intuitively, documents describing the same event will contain  similar sets of keywords,  and the graph of keywords for a document collection will contain clusters individual events. In this paper we build a network of keywords based on their co-occurrence in documents. We propose and develop a new event detection algorithm which creates a keyword graph and uses community detection methods analogous to those used for social network analysis to discover and describe events. Constellations of keywords describing an event may be used to find related articles. We also use the proposed algorithm to analyze events and track stories in social streams.
 
"
22a487f06e1eb604ece58301054fb9237b2f4a10,"{'DBLP': 'conf/icwsm/WilliamsA09', 'MAG': '1582344906', 'DOI': '10.1609/icwsm.v3i1.13995', 'CorpusId': 16962688}",Predicting the Polarity Strength of Adjectives Using WordNet,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13995/13844', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13995?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13995, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '2107431828', 'name': 'G. Williams'}, {'authorId': '1795891', 'name': 'S. Anand'}]","
 
 A key element of any sentiment analysis system is the ability to assign a polarity strength value to words appearing within the documents. In this paper we present a novel approach to polarity strength assignment. The approach is knowledge based in that it uses WordNet to build an adjective graph which is used to measure semantic distance between words of known polarity (reference or seed words) and the target word, which is then used to assign a polarity to the target word. We extend previous work in this area by using a small training data set to learn an optimal predictor of polarity strength and to dampen polarity assigned to non-polar adjectives. We also extend the coverage of previous approaches by exploring additional lexical relations not studied previously. The method has been evaluated on a validation set and shows excellent potential in reducing the assignment of spurious polarity and accurately predicting polarity values for polar adjectives.
 
"
25879c2835a5ca451cbf7ddd60864334c43c1819,"{'DBLP': 'conf/icwsm/KoutrikaBKLG09', 'MAG': '2134648384', 'DOI': '10.1609/icwsm.v3i1.13958', 'CorpusId': 5173188}",CourseRank: A Closed-Community Social System through the Magnifying Glass,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/13958/13807', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.13958?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.13958, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '1680709', 'name': 'Georgia Koutrika'}, {'authorId': '2686295', 'name': 'Benjamin Bercovitz'}, {'authorId': '1856881', 'name': 'Filip Kaliszan'}, {'authorId': '38901702', 'name': 'Henry Liou'}, {'authorId': '1398574232', 'name': 'H. Garcia-Molina'}]","
 
 Social sites are extremely popular among users but user interactions in most sites revolve around relatively simple tasks, such as uploading resources, tagging and poking friends. We believe that social sites can go beyond simple interactions among individuals and offer valuable services to well-defined, closed, communities (e.g., an academic, corporate or scientific community). In this paper, we present an example of a closed-community social system, CourseRank, an educational and social site where Stanford students can explore course offerings and plan their academic program. We perform an analysis of 12 months worth of CourseRank data including user contributed information, such as ratings and comments, as well as information extracted from the user logs, and we analyze several aspects of user interactions and user-contributed content in the site, such as activity levels, user behavior and user content quality. Our findings provide useful insights with respect to the potential of closed-community social sites.
 
"
26236f6873c2d79806cc87404fcc2796cac61423,"{'MAG': '69146636', 'DBLP': 'conf/icwsm/SakunkooS09', 'DOI': '10.1609/icwsm.v3i1.14001', 'CorpusId': 12404634}",Analysis of Social Influence in Online Book Reviews,International Conference on Web and Social Media,2009,"{'url': 'https://ojs.aaai.org/index.php/ICWSM/article/download/14001/13850', 'status': 'GOLD', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1609/icwsm.v3i1.14001?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1609/icwsm.v3i1.14001, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","[{'authorId': '3014211', 'name': 'Patty Sakunkoo'}, {'authorId': '2867901', 'name': 'Nathan Sakunkoo'}]","
 
 It has been widely recognized that online opinions constitute important informational sources for consumers and producers. The open nature of communication supported by social media, however, raises an important yet unsettled question of whether and how earlier opinions affect those that come after. This poster presents a model to illustrate the relationship between existing and new reviews. Based on 12,500 Amazon reviews, our choice model shows support for the idea that social contagion may be an important mechanism guiding behaviors of online reviewers. The results thus offer novel insights toward a better understanding of contagious behaviors, as well as minority influence, among social media users.
 
"
